Title,Music Genre,startDate,endDate,duration,Camping,Venue,streetAddress,addressLocality,county,region,postalCode,Country,Capacity,lat,long
LeeStock,Mixed/General,24/05/2025,25/05/2025,2,Yes,Melford Hall,Long Melford,Sudbury,Suffolk,East of England,CO10 9AA,England,"1,500",52.0826316,0.7226754
Lido Festival - Charli xcx,Rock/Alternative,14/06/2025,14/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lido Festival - Jamie XX,Rock/Alternative,07/06/2025,07/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lido Festival - London Grammar,Rock/Alternative,15/06/2025,15/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Lindisfarne Festival,Mixed/General,28/08/2025,31/08/2025,4,Yes,Beal Farm,,Berwick upon Tweed,Northumberland,North East,TD15 2PB,England,"8,000",55.6781742,-1.9047038
Little Orchard Cider & Music Festival,Cider/Food,12/09/2025,14/09/2025,3,Yes,Healey'S Cyder Farm,,Penhallow,Cornwall,South West,TR4 9LW,England,"7,500",50.3107197,-5.1284475
Live at Leeds In The Park,Rock/Alternative,24/05/2025,24/05/2025,1,No,Temple Newsam Park,,Leeds,Yorkshire,Yorkshire and The Humber,LS15 0AD,England,"79,999",53.7900957,-1.4550566
Live on the Wye,Mixed/General,30/05/2025,31/05/2025,2,Yes,Redbrook Football Field,,Redbrook,Gloucestershire,South West,NP25 4LZ,Wales,"1,000",51.7841131,-2.6721754
Livefields Festival,Tribute Acts,12/07/2025,12/07/2025,1,No,Oakwell Hall,Nova Lane,Birstall,Kirklees,Yorkshire and The Humber,WF17 9LG,England,250,53.7394068,-1.6709642
Lost Minds,Electronic/Dance,12/07/2025,12/07/2025,1,No,Exhibition Park,Claremont Raod,Newcastle upon Tyne,Northumberland,North East,NE2 4BJ,England,"5,000",54.9794057,-1.6228919
Lost Village,Electronic/Dance,21/08/2025,24/08/2025,4,Yes,Lincolnshire forestry,,Witham St Hughs,Lincolnshire,East Midlands,LN6 9HN,England,"5,000",53.1528048,-0.6809606
Love Saves The Day Festival,Mixed/General,24/05/2025,25/05/2025,2,No,Ashton Court Estate,Long Ashton,Bristol,City of Bristol,South West,BS41 9JN,England,"25,000",51.4437012,-2.6381413
Love Supreme Jazz Festival,Jazz/Blues,04/07/2025,06/07/2025,3,Yes,Glynde Place,,Glyne,East Sussex,South East,BN8 6SX,England,"15,000",50.8643814,0.0685738
Margate Soul Festival,Soul/Funk/R&B,01/08/2025,03/08/2025,3,No,Newgate Lower Promenade,Beneath the iconic Lido sign,Margate,Kent,South East,CT9 1DD,England,"4,000",51.3900826,1.3826801
Marvellous (Dinton Pastures),Tribute Acts,20/07/2025,21/07/2025,2,Yes,Dinton Pastures Country Park,Davis Street,Wokingham,Berkshire,South East,RG10 0TH,England,"3,500",51.4420709,-0.8684651
Maui,Mixed/General,22/08/2025,24/08/2025,3,Yes,Hill Farm,,Dereham,Norfolk,East of England,NR19 2NR,England,"5,000",52.6844662,0.9114349
Maverick Festival,Americana/Country,04/07/2025,06/07/2025,3,Yes,Easton Farm Park,Easton,Woodbridge,Suffolk,East of England,IP13 0EQ,England,"2,000",52.1770767,1.329574
Minety Music Festival,Mixed/General,03/07/2025,06/07/2025,4,Yes,Kinch'S Fields,Hornbury Hill,Minety,Wiltshire,South West,SN16 9QH,England,"2,000",51.6142805,-1.9672324
Mint Festival,Electronic/Dance,03/05/2025,04/05/2025,2,No,Newsam Green Farm,,Leeds,Yorkshire,Yorkshire and The Humber,LS24 9SE,England,"15,000",53.8343571,-1.2043542
Moovin Festival,Electronic/Dance,13/06/2025,15/06/2025,3,Yes,Whitebottom Farm,Etherow Park,Compstall,Cheshire,North West,SK6 5JQ,England,"3,500",53.4209746,-2.0388417
Mosborough Music Festival,Rock/Alternative,07/06/2025,07/06/2025,1,No,Don Valley Grass Bowl,,Sheffield,Yorkshire,Yorkshire and The Humber,S9 3TL,England,"5,000",53.3950963,-1.4249041
Moseley Folk & Arts Festival,Folk/Acoustic,29/08/2025,31/08/2025,3,No,Moseley Park,Moseley,Birmingham,Birmingham,West Midlands,B13 8DD,England,"6,000",52.4471017,-1.8883955
Mucky Weekender,Electronic/Dance,11/09/2025,13/09/2025,3,Yes,Vicarage Farm,,Winchester,Hampshire,South East,SO21 3BL,England,"5,000",51.1789485,-1.2036495
Music at the Crossroads,Folk/Acoustic,04/07/2025,06/07/2025,3,Yes,Ferris Hill Farm,,Hook Norton,Oxfordshire,South East,OX15 5DF,England,"2,000",52.0114829,-1.4841515
Napton Music Festival,Mixed/General,04/07/2025,05/07/2025,2,Yes,Village Hall,,Napton on the Hill,Warwickshire,West Midlands,CV47 8HX,England,600,52.2637369,-1.3269853
Naughty Corner Festival,Rock/Alternative,04/09/2025,07/09/2025,4,Yes,Fernhill Farm,Cheddar Road,Compton Martin,Somerset,South West,BS40 6LD,England,"1,200",51.2940784,-2.6776842
Neighbourhood Weekender,Mixed/General,25/05/2025,26/05/2025,2,No,Victoria Park,Knutsford Road,Warrington,Cheshire,North West,WA4 4UK,England,"25,000",53.3408793,-2.594305
New Forest Folk Festival,Folk/Acoustic,02/07/2025,06/07/2025,5,Yes,Powells Farm,Salisbury Road,near Romsey,Hampshire,South East,SO51 6EF,England,"2,000",50.9800645,-1.6046335
Noisily Festival,Electronic/Dance,10/07/2025,13/07/2025,4,Yes,Barkestone Wood,,Noseley,Leicestershire,East Midlands,LE7 9EH,England,"6,000",52.5804341,-0.9098209
Off The Tracks Summer Festival,Mixed/General,29/08/2025,31/08/2025,3,Yes,Donington Park Farmhouse Hotel,Melbourne Rd,near Castle Donington,Leicestershire,East Midlands,DE74 2RN,England,"2,000",52.822469,-1.3797273
Onboard The Craft Festival,Rock/Alternative,04/09/2025,08/09/2025,5,Yes,Stoke Prior Sports & Country Club,Stoke Prior,Bromsgrove,Worcestershire,West Midlands,B60 4AL,England,500,52.2950661,-2.0818988
Outbreak Fest,Rock/Alternative,13/06/2025,13/06/2025,1,No,Victoria Park,,Tower Hamlets,Hackney,London,E9 7BT,England,"40,000",51.5392914,-0.040443
Outcider Festival,Cider/Food,31/07/2025,03/08/2025,4,Yes,Fernhill Farm,,Compton Martin,Somerset,South West,BS40 6LD,England,499,51.2940784,-2.6776842
Paradhis Festival,Eco/Alternative,04/07/2025,05/07/2025,2,Yes,Boconnoc,,Lostwithiel,Cornwall,South West,PL22 0RG,England,"5,000",50.419477,-4.611353
Parklife Festival,Mixed/General,14/06/2025,15/06/2025,2,No,Heaton Park,,Manchester,Lancashire,North West,M25 2SW,England,"80,000",53.5364251,-2.2553098
Parklife Weekender,Electronic/Dance,08/06/2025,09/06/2025,2,No,Heaton Park,,Manchester,Lancashire,North West,M25 2SW,England,"80,000",53.5364251,-2.2553098
Picnic and Pop Festival,Tribute Acts,26/07/2025,27/07/2025,2,No,Manor Park,,Aldershot,Hampshire,South East,GU12 4LT,England,"5,000",51.2455931,-0.7544625
Poole Harbour Festival,Mixed/General,25/07/2025,27/07/2025,3,No,Baiter Park,Catalina Drive,Poole,"Bournemouth, Christchurch and Poole",South West,BH15 1TQ,England,"10,000",50.7133803,-1.9736103
Priddy Folk Festival,Folk/Acoustic,11/07/2025,13/07/2025,3,Yes,Various Venues,,Priddy,Somerset,South West,BA5 3BB,England,"1,300",51.2556961,-2.6784243
Purbeck Valley Folk Festival,Folk/Acoustic,14/08/2025,17/08/2025,4,Yes,Purbeck Valley Farm,Valley Road,Corfe Castle,Dorset,South West,BH20 5HU,England,"3,000",50.6234866,-2.02844
Reading Festival,Rock/Alternative,20/08/2025,24/08/2025,5,Yes,Little Johns Farm,Richfield Avenue,Reading,Berkshire,South East,RG1 8EQ,England,"90,000",51.4636704,-0.9854659
Readipop Festival,Mixed/General,11/07/2025,13/07/2025,3,No,Christchurch Meadows,Caversham,Reading,Berkshire,South East,RG4 8BY,England,"4,500",51.4663864,-0.9721038
Red Rooster Festival,Rock/Blues,29/05/2025,31/05/2025,3,Yes,Euston Hall,,Thetford,Suffolk,East of England,IP24 2QP,England,"10,000",52.3689109,0.7845891
Reepham Festival,Folk/Acoustic,09/08/2025,10/08/2025,2,No,Rookery Meadow,Off Back Street,Reepham,Norfolk,East of England,NR10 4JS,England,"1,800",52.7590802,1.1076779
Reggae Land,Reggae,02/08/2025,03/08/2025,2,No,Milton Keynes National Bowl,Watling St,Milton Keynes,Buckinghamshire,South East,MK5 8AA,England,"20,000",52.014777,-0.7561536
Rewind Scotland,Retro/Nostalgia,18/07/2025,20/07/2025,3,Yes,Scone Palace,,Perth,Perthshire,Central Scotland,PH2 6BD,Scotland,"30,000",56.4226528,-3.4380136
Rewind South,Retro/Nostalgia,15/08/2025,17/08/2025,3,Yes,Temple Island Meadows,,near Henley On Thames,Berkshire,South East,RG9 3DB,England,"40,000",51.54997,-0.8915048
Rock Oyster Festival,Mixed/General,24/07/2025,27/07/2025,4,Yes,Dinham House,St Minver,St. Minver Highlands,Cornwall,South West,PL27 6RH,England,"10,000",50.5379652,-4.8671241
Seek Out Festival,Experimental/Alternative,25/07/2025,27/07/2025,3,Yes,Gisburn Forest,,Clitheroe,Lancashire,North West,BB7 4TS,England,500,53.9994677,-2.3890759
Shambala Festival,Electronic/Dance,21/08/2025,23/08/2025,3,Yes,Secret Location Near Market Harborough,,Northampton,Northamptonshire,East Midlands,NN6 9LY,England,"15,000",52.4076459,-0.9176536
Shindig Festival,Electronic/Dance,22/05/2025,25/05/2025,4,Yes,Dillington Estate,Whitelackington,Ilminster,Somerset,South West,TA19 9EG,England,500,50.9334878,-2.8822477
Shrewsbury Folk Festival,Folk/Acoustic,22/08/2025,25/08/2025,4,Yes,"West Midlands Showground, (The Agricultural Showground)",Berwick Road,Shrewsbury,Shropshire,West Midlands,SY1 2PF,England,"6,500",52.7167363,-2.7619957
Slam Dunk Festival - South,Rock/Alternative,24/05/2025,24/05/2025,2,No,Hatfield,Hatfield Park,Hatfield,Hertfordshire,East of England,AL9 5NB,England,"15,000",51.7628093,-0.2111584
Slam Dunk Festival - North,Rock/Alternative,25/05/2025,25/05/2025,2,No,Leeds,Temple Newsam,Leeds,Yorkshire,Yorkshire and The Humber,LS15 0AE,England,"15,000",53.7843825,-1.4597441
Solas Festival,Folk/Acoustic,20/06/2025,22/06/2025,3,No,Errol Park,,Errol,Perthshire,Central Scotland,PH2 7RA,Scotland,"2,000",56.3927269,-3.2187744
Solfest,Mixed/General,21/08/2025,24/08/2025,4,Yes,North Lakes Country Park,,Silloth,Cumberland,North West,CA7 4NQ,England,"10,000",54.8180521,-3.372229
Sonic Rock Solstice,Rock/Alternative,19/06/2025,23/06/2025,5,Yes,Stoke Prior Space Port,,Bromsgrove,Worcestershire,West Midlands,B60 4AL,England,800,52.2950661,-2.0818988
Sonic Wave Festival,Rock/Alternative,05/09/2025,06/09/2025,2,No,Foxthorpe Farm,Carr Ln,Scunthorpe,Lincolnshire,Yorkshire and The Humber,DN17 4BF,England,250,53.6153603,-0.8145008
Splendour,Rock/Alternative,19/07/2025,20/07/2025,2,No,Wollaton Park,,Nottingham,Nottinghamshire,East Midlands,NG8 2AE,England,"25,000",52.9477997,-1.2109557
Stainsby Festival,Folk/Acoustic,18/07/2025,20/07/2025,3,Yes,Brunts Farm,,Stainsby,Derbyshire,East Midlands,S44 5RN,England,500,53.184085,-1.3272727
Steelhouse Festival,Rock/Metal,25/07/2025,27/07/2025,3,Yes,Hafod-Y-Dafal Farm,,Aberdeeg,Monmouthshire,South East Wales,NP13 2ER,Wales,"5,000",51.725985,-3.1588171
Street Eats n Beats Festival,Electronic/Dance,06/09/2025,06/09/2025,1,No,Central Park,,Chelmsford,Essex,East of England,CM2 0RW,England,"2,000",51.7315958,0.4646002
Supernormal Festival,Experimental/Alternative,01/08/2025,03/08/2025,3,Yes,Braziers Park School Of Integrative Social Research,Ipsden,Wallingford,Oxfordshire,South East,OX10 6AN,England,"1,000",51.5544954,-1.0848177
Test Fest Music Festival,Rock/Alternative,21/06/2025,21/06/2025,1,Yes,Taunton Rfc,Veritas Park,Taunton,Somerset,South West,TA2 8BU,England,"2,000",51.0263205,-3.0566205
The Big Feastival,Mixed/General,22/08/2025,24/08/2025,3,Yes,Kingham,,Chipping Norton,Oxfordshire,South East,OX7 6UJ,England,"20,000",51.9005376,-1.6198633
The Big Retreat Festival,Eco/Alternative,23/05/2025,26/05/2025,4,Yes,The Big Retreat Wales,,Lawrenny,Pembrokeshire,South West Wales,SA68 0PW,Wales,"5,000",51.7267262,-4.8725463
The Brit Fest,Retro/Nostalgia,04/07/2025,06/07/2025,3,Yes,Ashley Hall & Showground,Ashley Road,Altrincham,Cheshire,North West,WA14 3QA,England,"30,000",53.3604114,-2.3480778
The Electric Frog and Pressure Riverside Festival,Electronic/Dance,31/05/2025,01/06/2025,1,No,Riverside Museum,100 Pointhouse Place,Glasgow,Lanarkshire,Central Belt of Scotland,G3 8RS,Scotland,"5,000",55.864721,-4.3074304
The Gathering,Folk/Acoustic,24/05/2025,24/05/2025,1,No,Northern Meeting Park,,Inverness,Inverness-shire,Highlands and Islands of Scotland,IV3 5NN,Scotland,"5,000",57.4749932,-4.2293519
The Great Estate,Mixed/General,30/05/2025,01/06/2025,3,Yes,Scorrier House,Scorrier,Redruth,Cornwall,South West,TR16 5AU,England,"10,000",50.2501699,-5.1925095
The Green Gathering,Eco/Alternative,31/07/2025,03/08/2025,4,Yes,Piercefield Park,,Chepstow,Monmouthshire,South East Wales,NP16 6BE,Wales,"5,000",51.6442552,-2.6900223
The Mighty Hoopla,Pop/Disco,31/05/2025,01/06/2025,2,No,Brockwell Park,,Norwood,,London,SE24 9BJ,England,"15,000",51.4463864,-0.1060472
"The Mostly Jazz, Funk & Soul Festival",Jazz/Blues,11/07/2025,13/07/2025,3,No,Moseley Park and Pool,93b Alcester Road,Birmingham,Birmingham,West Midlands,B13 8DD,England,"2,000",52.4471017,-1.8883955
The Rock and Bike Fest,Rock/Alternative,10/07/2025,12/07/2025,3,Yes,Notts Derby Showground,Longmoor Lane,Long Eaton,Derbyshire,East Midlands,DE72 3BB,England,"4,999",52.901926,-1.3139689
Timber Festival,Folk/Acoustic,04/07/2025,06/07/2025,3,Yes,Feanedock,Hanging Hill Farm,Swadlincote,Leicestershire,East Midlands,DE12 6DH,England,"6,000",52.7472876,-1.5396929
Tiree Music Festival,Folk/Acoustic,11/07/2025,13/07/2025,3,Yes,Crossapol Bay,,Tiree,Argyll and Bute,West Scotland,PA77 6UP,Scotland,"1,500",56.4943294,-6.8845688
Todd in the Hole Festival,Tribute Acts,11/07/2025,13/07/2025,3,No,Todd's Green,,Stevenage,Hertfordshire,East of England,SG1 2JE,England,"15,000",51.9235467,-0.2263433
Tolpuddle Martyrs Festival and Rally,Folk/Acoustic,18/07/2025,20/07/2025,3,Yes,Tolpuddle Martyrs Museum,,Tolpuddle,Dorset,South West,DT2 7EH,England,"5,000",50.750413,-2.3014152
Towerfest,Americana/Country,19/06/2025,22/06/2025,4,Yes,Drax Sports And Social Club,Festival Fields,Selby,Yorkshire,Yorkshire and The Humber,YO8 8PJ,England,"1,500",53.7291214,-0.9946058
Tramlines,Rock/Alternative,25/07/2025,27/07/2025,3,No,Hillsborough Park,70 Broughton Rd,Sheffield,Yorkshire,Yorkshire and The Humber,S6 2AS,England,"40,000",53.4070774,-1.4985868
TribFest,Tribute Acts,14/08/2025,17/08/2025,4,Yes,Sledmere House,Sledmere,Driffield,Yorkshire,Yorkshire and the Humber,Y025 3XG,England,"10,000",54.0702993,-0.5803318
TRNSMT Festival,Mixed/General,11/07/2025,13/07/2025,3,No,Glasgow Green,,Glasgow,Lanarkshire,Central Scotland,G1 5DB,Scotland,"50,000",55.8531221,-4.2391582
Tropical Pressure Festival,World,11/07/2025,13/07/2025,3,Yes,Mount Pleasant Eco Park,,Porthtowan,Cornwall,South West,TR4 8HL,England,"2,000",50.2763813,-5.2352116
Truck Festival,Mixed/General,24/07/2025,27/07/2025,4,Yes,Hill Farm,Steventon,near Abingdon,Oxfordshire,South East,OX13 6SW,England,"9,999",51.6160583,-1.3327282
Twinwood Festival,Retro/Nostalgia,22/08/2025,25/08/2025,4,Yes,Glenn Miller Museum & Twinwood Arena,Twinwood Rd,Clapham,Bedford,East of England,MK41 6AB,England,"10,000",52.1792523,-0.5015319
Uptown Festival - Blackheath,Retro/Nostalgia,27/07/2025,27/07/2025,1,No,Blackheath Common,Shooters Hill Road,Blackheath,Greenwich,London,SE3 7AS,England,"25,000",51.473782,0.0150945
Victorious Festival,Mixed/General,22/08/2025,24/08/2025,3,Yes,Southsea Seafront,,Portsmouth,Hampshire,South East,PO5 3PA,England,"65,000",50.7780884,-1.0887826
Warwick Folk Festival,Folk/Acoustic,24/07/2025,27/07/2025,4,Yes,Castle Park,,Warwick,Warwickshire,West Midlands,CV34 6AX,England,"5,000",52.2736235,-1.5944364
Whitchurch Folk Festival,Folk/Acoustic,10/05/2025,10/05/2025,1,No,Whitchurch town centre,Whitchurch,Whitchurch,Shropshire,West Midlands,SY13 1DW,England,"12,000",52.9686163,-2.6834539
Whitwell Festival of Music,Mixed/General,05/09/2025,07/09/2025,3,Yes,Community Centre,Whitwell,Whitwell,Derbyshire,East Midlands,S80 4QR,England,900,53.2843095,-1.2063495
Wickham Festival,Folk/Acoustic,31/07/2025,03/08/2025,4,Yes,Blind Lane,,Wickham,Hampshire,South East,PO17 5HD,England,"7,000",50.9068952,-1.1914192
Wide Awake,Rock/Alternative,24/05/2025,24/05/2025,1,No,Brockwell Park,Norwood Rd,Norwood,,London,SE24 9BJ,England,"10,000",51.4463864,-0.1060472
Wild Fields Festival,Mixed/General,05/09/2025,07/09/2025,3,No,Raynham Hall,1 Raynham Hall,East Raynham,Norfolk,East of England,NR21 7EP,England,"1,000",52.7965706,0.7902148
Wilderness,Mixed/General,01/08/2024,04/08/2024,4,Yes,Cornbury Park,,Charlbury,Oxfordshire,South East,OX7 3EH,England,"30,000",51.8614031,-1.4921117
Wilkswood Reggae Festival,Reggae,24/07/2025,27/07/2025,4,Yes,Wilkswood Campsite,,Swanage,Dorset,South West,BH19 3DU,England,"2,000",50.6154682,-2.0074601
Wireless Festival,Mixed/General,11/07/2025,13/07/2025,3,No,Finsbury Park,Seven Sisters Road,Islington,,London,N4 2DH,England,"49,000",51.5646377,-0.1058555
Wolverton Folk & Blues Fair,Folk/Acoustic,10/05/2025,10/05/2025,1,No,Wolverton Manor,Shorwell,Shorwell,Isle of Wight,South East,PO30 3JS,England,"1,200",50.6392641,-1.3604335
Wood Festival,Folk/Acoustic,16/05/2025,18/05/2025,3,Yes,Braziers Park Campground,,Wallingford,Oxfordshire,South East,OX10 6AN,England,500,51.5544954,-1.0848177
Wood-Fest,Folk/Acoustic,04/07/2025,05/07/2025,2,Yes,Ox Drove Way,Upper Wield,Alresford,Hampshire,South East,SO24 9RW,England,500,51.1449618,-1.095373
Wychwood Festival,Mixed/General,30/05/2025,01/06/2025,3,Yes,Cheltenham Racecourse,,Cheltenham,Gloucestershire,South West,GL50 4SH,England,"7,500",51.9199398,-2.0671947
Y Not Festival,Rock/Alternative,31/07/2025,03/08/2025,4,Yes,Mouldridge Lane,Pikehall,Matlock,Derbyshire,East Midlands,DE4 2PH,England,"25,000",53.1294795,-1.7153269
Youth Beatz,Hip-Hop/Grime/Urban,28/06/2025,29/06/2025,2,No,Park Farm Showfield,,Dumfries,Dumfriesshire,South Scotland,DG2 7LU,Scotland,"20,000",55.0592357,-3.6223059